Authentication.dest,Authentication.src,Authentication.user,,,,
Logins from host [value] by action,Logins from host [value] by action,"User [value] logins by action, source, destination",,,,
Logins to host [value] by action,Logins to host [value] by action,Web traffic for user [value],,,,
Web traffic from host [value],Web traffic from host [value],Traffic for user [value],,,,
Traffic to or from host [value],Traffic to or from host [value],Traffic for user [value] to external IPs,,,,
Privileged user logins from host [value],Privileged user logins from host [value],Malware for user [value],,,,
Privileged user logins to host [value],Privileged user logins to host [value],IDS alerts for user [value],,,,
Malware events for host [value],Malware events for host [value],Top web sites for user [value],,,,
Traffic to external IPs from host [value],Traffic to external IPs from host [value],Change status actions by user [value],,,,
"Vulnerabilities for host [value] by category, severity","Vulnerabilities for host [value] by category, severity",File transfers for user [value],,,,
IDS events for host [value] by severity,IDS events for host [value] by severity,"Identities with user ""[value]""",,,,
Updates for host [value],Updates for host [value],DHCP requests by user [value],,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,